Detailed Overview of Topic,Type of Post,Does it have tagged?,Does it have a link?,Does it feature anyone in the thumbnail?,Type of Content,Employees,Linkedin Followers,Likes,Comments,Shares,Likes per follower,Likes per employee,Link
Webinar Highlight (Playroll),Video,Yes,No,Group,Event highlight,35,2634,10,0,0,0.004,0.286,https://www.linkedin.com/feed/update/urn:li:activity:7079114382168707072
Whitelabel communications,Post,No,No,No,Feature highlight,35,2634,13,0,0,0.005,0.371,https://www.linkedin.com/feed/update/urn:li:activity:7079367809343873024
Case study NES security,Video,Yes,No,No,Testimonial,35,2634,17,0,2,0.006,0.486,https://www.linkedin.com/feed/update/urn:li:activity:7079730150912729088
Adonis Webinar Announcement ,Event,No,Yes,Adonis,Webinar Announcement,35,2634,15,1,3,0.006,0.429,https://www.linkedin.com/feed/update/urn:li:activity:7080196311051853824
Why Kolleno Quote,Post,Yes,No,No,Testimonial,35,2634,17,0,0,0.006,0.486,https://www.linkedin.com/feed/update/urn:li:activity:7081581397114527744
G2 Badges,Post,Yes,No,No,Announcement,35,2634,13,1,1,0.005,0.371,https://www.linkedin.com/feed/update/urn:li:activity:7081997266500104192
Adonis Webinar Announcement ,Event,No,Yes,Adonis,Webinar Announcement,35,2634,12,0,0,0.005,0.343,https://www.linkedin.com/feed/update/urn:li:activity:7082407086252257280
Webinar Highlight (Playroll),Video,No,No,Group,Event highlight,35,2634,15,2,0,0.006,0.429,https://www.linkedin.com/feed/update/urn:li:activity:7083001108788342784
Customer reports,Post,No,No,No,Feature highlight,35,2634,13,0,0,0.005,0.371,https://www.linkedin.com/feed/update/urn:li:activity:7084082848206331904
G2 Review,Post,No,No,No,Testimonial,35,2634,20,0,0,0.008,0.571,https://www.linkedin.com/feed/update/urn:li:activity:7084447689173557248
2 million invoices,Post,No,No,No,Announcement,35,2634,34,3,2,0.013,0.971,https://www.linkedin.com/feed/update/urn:li:activity:7084863604000223232
Before / After,Post,No,No,No,Testimonial,35,2634,15,1,1,0.006,0.429,https://www.linkedin.com/feed/update/urn:li:activity:7085158438736928769
Adonis Webinar Announcement ,Event,No,Yes,Adonis,Webinar Announcement,35,2634,9,0,0,0.003,0.257,https://www.linkedin.com/feed/update/urn:li:activity:7085221713306603520
Fintech Summit,Video,Yes,No,Dimitri,Event highlight,35,2634,13,1,0,0.005,0.371,https://www.linkedin.com/feed/update/urn:li:activity:7085528388584529920
Clio Webinar,Carousel,Yes,No,No,Quote,35,2634,8,0,0,0.003,0.229,https://www.linkedin.com/feed/update/urn:li:activity:7086651614484144128
Meet the team,Video,Yes,No,Jared,Kolleno,35,2450,34,3,1,0.014,0.971,https://www.linkedin.com/feed/update/urn:li:activity:7059157082339450881
"New feature, seamless onboarding",Video,No,Yes,No,Announcement,35,2450,22,0,0,0.009,0.629,https://www.linkedin.com/feed/update/urn:li:activity:7056569528859680769
Forbes article FM,Link,Yes,Yes,No,Article,35,2450,12,1,0,0.005,0.343,https://www.linkedin.com/feed/update/urn:li:activity:7054741172065300481
ChatGPT Integration,Post,No,No,No,Partnership,35,2450,95,3,3,0.039,2.714,https://www.linkedin.com/feed/update/urn:li:activity:7046088872161624065
